C:\Users\1027k>atlas metrics processes  testcluster-shard-00-02.hhn0w.mongodb.net:27017   --start 2024-01-19T00:00:00Z  --end 2024-01-19T02:00:00Z --granularity PT5M
NAME                                           UNITS                TIMESTAMP                             VALUE
ASSERT_REGULAR                                 SCALAR_PER_SECOND    2024-01-19 01:14:12 +0000 UTC         0
ASSERT_REGULAR                                 SCALAR_PER_SECOND    2024-01-19 01:19:12 +0000 UTC         0
ASSERT_REGULAR                                 SCALAR_PER_SECOND    2024-01-19 01:24:12 +0000 UTC         0
ASSERT_REGULAR                                 SCALAR_PER_SECOND    2024-01-19 01:29:12 +0000 UTC         0
ASSERT_REGULAR                                 SCALAR_PER_SECOND    2024-01-19 01:34:12 +0000 UTC         0
ASSERT_REGULAR                                 SCALAR_PER_SECOND    2024-01-19 01:39:12 +0000 UTC         0
ASSERT_WARNING                                 SCALAR_PER_SECOND    2024-01-19 01:14:12 +0000 UTC         0
ASSERT_WARNING                                 SCALAR_PER_SECOND    2024-01-19 01:19:12 +0000 UTC         0
ASSERT_WARNING                                 SCALAR_PER_SECOND    2024-01-19 01:24:12 +0000 UTC         0
ASSERT_WARNING                                 SCALAR_PER_SECOND    2024-01-19 01:29:12 +0000 UTC         0
ASSERT_WARNING                                 SCALAR_PER_SECOND    2024-01-19 01:34:12 +0000 UTC         0
ASSERT_WARNING                                 SCALAR_PER_SECOND    2024-01-19 01:39:12 +0000 UTC         0
ASSERT_MSG                                     SCALAR_PER_SECOND    2024-01-19 01:14:12 +0000 UTC         0
ASSERT_MSG                                     SCALAR_PER_SECOND    2024-01-19 01:19:12 +0000 UTC         0
ASSERT_MSG                                     SCALAR_PER_SECOND    2024-01-19 01:24:12 +0000 UTC         0
ASSERT_MSG                                     SCALAR_PER_SECOND    2024-01-19 01:29:12 +0000 UTC         0
ASSERT_MSG                                     SCALAR_PER_SECOND    2024-01-19 01:34:12 +0000 UTC         0
ASSERT_MSG                                     SCALAR_PER_SECOND    2024-01-19 01:39:12 +0000 UTC         0
ASSERT_USER                                    SCALAR_PER_SECOND    2024-01-19 01:14:12 +0000 UTC         0.59109926
ASSERT_USER                                    SCALAR_PER_SECOND    2024-01-19 01:19:12 +0000 UTC         0.25666362
ASSERT_USER                                    SCALAR_PER_SECOND    2024-01-19 01:24:12 +0000 UTC         0.21999817
ASSERT_USER                                    SCALAR_PER_SECOND    2024-01-19 01:29:12 +0000 UTC         0.25666422
ASSERT_USER                                    SCALAR_PER_SECOND    2024-01-19 01:34:12 +0000 UTC         0.25666422
ASSERT_USER                                    SCALAR_PER_SECOND    2024-01-19 01:39:12 +0000 UTC         0.21999694
CACHE_BYTES_READ_INTO                          BYTES_PER_SECOND     2024-01-19 01:14:12 +0000 UTC         25.292828
CACHE_BYTES_READ_INTO                          BYTES_PER_SECOND     2024-01-19 01:19:12 +0000 UTC         0
CACHE_BYTES_READ_INTO                          BYTES_PER_SECOND     2024-01-19 01:24:12 +0000 UTC         0
CACHE_BYTES_READ_INTO                          BYTES_PER_SECOND     2024-01-19 01:29:12 +0000 UTC         0
CACHE_BYTES_READ_INTO                          BYTES_PER_SECOND     2024-01-19 01:34:12 +0000 UTC         0
CACHE_BYTES_READ_INTO                          BYTES_PER_SECOND     2024-01-19 01:39:12 +0000 UTC         0
CACHE_BYTES_WRITTEN_FROM                       BYTES_PER_SECOND     2024-01-19 01:14:12 +0000 UTC         4491.141
CACHE_BYTES_WRITTEN_FROM                       BYTES_PER_SECOND     2024-01-19 01:19:12 +0000 UTC         3952.6074
CACHE_BYTES_WRITTEN_FROM                       BYTES_PER_SECOND     2024-01-19 01:24:12 +0000 UTC         3489.76
CACHE_BYTES_WRITTEN_FROM                       BYTES_PER_SECOND     2024-01-19 01:29:12 +0000 UTC         3642.1191
CACHE_BYTES_WRITTEN_FROM                       BYTES_PER_SECOND     2024-01-19 01:34:12 +0000 UTC         3797.5513
CACHE_BYTES_WRITTEN_FROM                       BYTES_PER_SECOND     2024-01-19 01:39:12 +0000 UTC         3951.314
CACHE_DIRTY_BYTES                              BYTES                2024-01-19 01:14:12 +0000 UTC         184707.5
CACHE_DIRTY_BYTES                              BYTES                2024-01-19 01:19:12 +0000 UTC         170705.6
CACHE_DIRTY_BYTES                              BYTES                2024-01-19 01:24:12 +0000 UTC         177110.6
CACHE_DIRTY_BYTES                              BYTES                2024-01-19 01:29:12 +0000 UTC         192000.8
CACHE_DIRTY_BYTES                              BYTES                2024-01-19 01:34:12 +0000 UTC         206656.2
CACHE_DIRTY_BYTES                              BYTES                2024-01-19 01:39:12 +0000 UTC         221160.2
CACHE_USED_BYTES                               BYTES                2024-01-19 01:14:12 +0000 UTC         2.2933494e+07
CACHE_USED_BYTES                               BYTES                2024-01-19 01:19:12 +0000 UTC         2.2997608e+07
CACHE_USED_BYTES                               BYTES                2024-01-19 01:24:12 +0000 UTC         2.3033968e+07
CACHE_USED_BYTES                               BYTES                2024-01-19 01:29:12 +0000 UTC         2.306447e+07
CACHE_USED_BYTES                               BYTES                2024-01-19 01:34:12 +0000 UTC         2.3092744e+07
CACHE_USED_BYTES                               BYTES                2024-01-19 01:39:12 +0000 UTC         2.311872e+07
CONNECTIONS                                    SCALAR               2024-01-19 01:14:12 +0000 UTC         44
CONNECTIONS                                    SCALAR               2024-01-19 01:19:12 +0000 UTC         52.6
CONNECTIONS                                    SCALAR               2024-01-19 01:24:12 +0000 UTC         55
CONNECTIONS                                    SCALAR               2024-01-19 01:29:12 +0000 UTC         55
CONNECTIONS                                    SCALAR               2024-01-19 01:34:12 +0000 UTC         55
